Date,Service,Departure station,Arrival station,Average journey time,Number of scheduled trains,Number of cancelled trains,Number of trains delayed at departure,Average delay of late trains at departure,Average delay of all trains at departure,Number of trains delayed at arrival,Average delay of late trains at arrival,Average delay of all trains at arrival,Number of trains delayed > 15min,Average delay of trains > 15min (if competing with flights),Number of trains delayed > 30min,Number of trains delayed > 60min,Pct delay due to external causes,Pct delay due to infrastructure,Pct delay due to traffic management,Pct delay due to rolling stock,Pct delay due to station management and equipment reuse,"Pct delay due to passenger handling (crowding, disabled persons, connections)",Pct of delay train
2024-05-01,National,BREST,PARIS MONTPARNASSE,232.0,270.0,0.0,19.0,4.168421053,0.298209877,16.0,28.17291667,58.47323134889636,16.0,28.17291667,3.0,1.0,18.75,37.5,6.25,18.75,0.0,18.75,7.037037037037037
2024-05-01,National,PARIS MONTPARNASSE,POITIERS,99.0,587.0,0.0,51.0,16.77026144,1.025865985,57.0,22.563157895000003,3.008177172,27.0,34.67222222,10.0,3.0,7.27272727,16.36363636,23.636363640000003,23.636363640000003,12.72727273,16.36363636,8.68824531516184
2024-05-01,National,PARIS MONTPARNASSE,NANTES,161.0,278.0,0.0,31.0,27.46935484,30.62165761769024,34.0,40.20588235,5.956834532,26.0,48.53846153799999,15.0,5.0,15.15151515,27.27272727,15.15151515,24.24242424,15.15151515,3.03030303,11.151079136690647
2024-05-01,National,PARIS MONTPARNASSE,ANGERS SAINT LAUD,95.0,544.0,0.0,48.0,14.14444444,0.833946078,31.0,27.20268817,1.86908701,23.0,33.5173913,6.0,3.0,3.4482758600000003,24.13793103,20.68965517,27.5862069,6.896551720000001,17.24137931,8.823529411764707
2024-05-01,International,STUTTGART,PARIS EST,202.0,146.0,3.0,124.0,5.896505376,4.640258216,16.0,30.525,5.914553991,16.0,30.525,4.0,2.0,12.5,12.5,25.0,31.25,6.25,12.5,86.7132867132867
2024-05-01,National,PARIS NORD,ARRAS,49.0,507.0,11.0,30.0,17.657222222000005,0.701310484,33.0,27.29343434,2.848622312,16.0,46.84895833,8.0,4.0,3.7037037,18.51851852,14.814814809999998,11.11111111,37.03703704,14.814814809999998,6.048387096774194
2024-05-01,National,ST MALO,PARIS MONTPARNASSE,153.0,100.0,0.0,4.0,20.57916667,0.627833333,7.0,30.06428571,3.551333333,6.0,32.65,1.0,1.0,14.28571429,14.28571429,0.0,42.85714286,0.0,28.57142857,4.0
2024-05-01,International,ITALIE,PARIS LYON,551.0,18.0,0.0,7.0,2.321428571,1.073148148,2.0,29.85833333,4.898148148,2.0,29.85833333,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,38.88888888888889
2024-05-01,National,PARIS MONTPARNASSE,TOURS,278.0,192.0,0.0,13.0,9.073076923,0.139930556,20.0,60.425,3.705555556,20.0,60.425,15.0,7.0,25.0,45.0,15.0,5.0,0.0,10.0,6.770833333333333
2024-05-01,National,TOURS,PARIS MONTPARNASSE,79.0,185.0,0.0,7.0,1.902380952,0.015585586,19.0,17.50438597,2.181711712,7.0,30.597619047999995,2.0,0.0,0.0,21.05263158,26.31578947,31.57894737,0.0,21.05263158,3.783783783783784
